family,param,value,n_rows,source,engine_version,numerics
trench_c325,qi_lnA,11.816,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,qi_sat,nan,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,n_lo,165,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,n_hi,225,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,lam_nm,1558.27,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,w_Finf,19.6139,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,w_B,48.1223,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
trench_c325,w_c,0.0405569,6,result_N165_TM_avg_C325_Ybox8p0_Zbox8p8_scRECT_L173000xW800_X0_Y1800_pair_hole_H12000.mat (+5),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,qc_rate,0.035398,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
invdesign,qc_lnQ0,3.98377,5,result_N100_TM_W961_C325_dsh25S66s3_ptw25W964to981_ptn25W640to620_Ybox8p0_Zbox8p8_scR80_arr57_X-14467to15269_Y1900to1900_C325_pair.mat (+4),2026R1.3-b4572,"y8.0/z8.8 box, 20nm/4001pts, dx50 conformal, ASL 1e-7"
